kommune_id;indbygger_gruppe_id;aarstal;indvandret_indevaerende_aar;indvandret_foer_indevaerende_aar
1;1;2006;0;0
1;1;2007;6902;103
1;1;2008;7857;159
1;1;2009;7565;159
1;1;2010;8111;127
1;1;2011;8054;164
1;1;2012;8019;152
1;1;2013;8934;160
1;1;2014;9687;151
1;1;2015;9686;172
1;1;2016;9685;139
1;1;2017;9726;174
2;1;2006;0;0
2;1;2007;1426;19
2;1;2008;1461;34
2;1;2009;1361;26
2;1;2010;1359;51
2;1;2011;1406;24
2;1;2012;1398;21
2;1;2013;1420;35
2;1;2014;1644;42
2;1;2015;1740;42
2;1;2016;1679;38
2;1;2017;1601;23
1;20;2006;0;0
1;20;2007;6787;72
1;20;2008;7556;160
1;20;2009;7507;133
1;20;2010;7988;163
1;20;2011;8246;118
1;20;2012;8490;123
1;20;2013;9211;142
1;20;2014;9694;139
1;20;2015;9972;163
1;20;2016;10336;139
1;20;2017;10592;170
2;20;2006;0;0
2;20;2007;1472;20
2;20;2008;1522;31
2;20;2009;1563;17
2;20;2010;1607;32
2;20;2011;1508;22
2;20;2012;1554;21
2;20;2013;1637;23
2;20;2014;1811;36
2;20;2015;1888;27
2;20;2016;1820;31
2;20;2017;1793;26
